DATE RPTD,DATE OCC,TIME OCC,AREA,AREA NAME,DIST NO,CRIME,VICT SEX,PREMISES,WEAPON,LOCATION
1/25/2024 0:00,1/24/2024 0:00,1000,18,Southeast,1834,VEHICLE - STOLEN,,STREET,,109TH                        ST
1/25/2024 0:00,1/25/2024 0:00,1600,7,Wilshire,779,BATTERY - SIMPLE ASSAULT,M,MTA BUS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1600    ARLINGTON                    AV
1/25/2024 0:00,1/24/2024 0:00,2230,14,Pacific,1443,BURGLARY FROM VEHICLE,M,STREET,,800    BOCCACCIO                    AV
1/25/2024 0:00,1/25/2024 0:00,2130,3,Southwest,392,CRIMINAL THREATS - NO WEAPON DISPLAYED,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,4900    6TH                          AV
1/25/2024 0:00,1/24/2024 0:00,1600,12,77th Street,1235,BURGLARY,X,OTHER BUSINESS,UNKNOWN WEAPON/OTHER WEAPON,5900 S  NORMANDIE                    AV
1/25/2024 0:00,1/25/2024 0:00,1245,15,N Hollywood,1505,BURGLARY FROM VEHICLE,M,PARKING LOT,,11600    SHERMAN                      WY
1/25/2024 0:00,1/24/2024 0:00,1845,3,Southwest,328,BATTERY - SIMPLE ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 W  ADAMS                        BL
1/25/2024 0:00,1/24/2024 0:00,2035,20,Olympic,2031,VEHICLE - STOLEN,,STREET,,3800    WILSHIRE                     BL
1/25/2024 0:00,1/24/2024 0:00,2200,17,Devonshire,1754,BURGLARY FROM VEHICLE,M,STREET,,MAYALL                       ST
1/25/2024 0:00,1/19/2024 0:00,1,18,Southeast,1802,CRIMINAL THREATS - NO WEAPON DISPLAYED,M,OTHER PREMISE,VERBAL THREAT,100 E  87TH                         ST
1/25/2024 0:00,1/25/2024 0:00,855,4,Hollenbeck,467,BATTERY - SIMPLE ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,500 S  MATHEWS                      ST
1/25/2024 0:00,1/25/2024 0:00,2355,19,Mission,1985,BOMB SCARE,M,DEPARTMENT STORE,BOMB THREAT,8300    VAN NUYS                     BL
1/25/2024 0:00,1/25/2024 0:00,1253,9,Van Nuys,905,VEHICLE - STOLEN,,STREET,,7500    VAN NUYS                     BL
1/25/2024 0:00,1/19/2024 0:00,1100,20,Olympic,2034,CRIMINAL THREATS - NO WEAPON DISPLAYED,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,700 S  NORMANDIE                    AV
1/25/2024 0:00,1/25/2024 0:00,538,13,Newton,1341,BURGLARY,M,,,3700 S  BROADWAY
1/25/2024 0:00,1/25/2024 0:00,800,1,Central,111,VEHICLE - STOLEN,,STREET,,700 W  CESAR CHAVEZ                 AV
1/25/2024 0:00,1/24/2024 0:00,1700,21,Topanga,2155,BURGLARY FROM VEHICLE,F,DRIVEWAY,,22200    VICTORY                      BL
1/25/2024 0:00,1/25/2024 0:00,1640,4,Hollenbeck,488,BATTERY - SIMPLE ASSAULT,F,DRIVEWAY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1100 S  LORENA                       ST
1/25/2024 0:00,1/25/2024 0:00,540,2,Rampart,237,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",F,PARKING UNDERGROUND/BUILDING,,200    LUCAS                        AV
1/25/2024 0:00,1/23/2024 0:00,1230,14,Pacific,1401,THEFT PLAIN - PETTY ($950 & UNDER),F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,11700    NATIONAL                     BL
1/25/2024 0:00,1/19/2024 0:00,1200,14,Pacific,1443,BURGLARY,M,PUBLIC STORAGE,,600    VENICE                       BL
1/25/2024 0:00,1/25/2024 0:00,300,21,Topanga,2189,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",M,NURSING/CONVALESCENT/RETIREMENT HOME,,20400    VENTURA                      BL
1/25/2024 0:00,1/25/2024 0:00,1600,6,Hollywood,676,ROBBERY,X,OTHER BUSINESS,HAND GUN,700    VINE                         ST
1/25/2024 0:00,1/25/2024 0:00,200,12,77th Street,1251,VEHICLE - STOLEN,,STREET,,3100 W  75TH                         ST
1/25/2024 0:00,1/25/2024 0:00,1400,1,Central,119,BATTERY - SIMPLE ASSAULT,M,LA UNION STATION (NOT LINE SPECIFIC),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 N  ALAMEDA                      ST
1/25/2024 0:00,1/24/2024 0:00,1815,2,Rampart,275,VEHICLE - STOLEN,,STREET,,UNION
1/25/2024 0:00,1/20/2024 0:00,1455,1,Central,138,VEHICLE - STOLEN,,PARKING UNDERGROUND/BUILDING,,200 S  LOS ANGELES                  ST
1/25/2024 0:00,1/24/2024 0:00,900,2,Rampart,201,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1000 N  HELIOTROPE                   DR
1/25/2024 0:00,1/25/2024 0:00,930,11,Northeast,1163,"BUNCO, ATTEMPT",M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1200 N  EDGEMONT                     ST
1/25/2024 0:00,1/24/2024 0:00,1500,4,Hollenbeck,466,BURGLARY FROM VEHICLE,M,STREET,,2600 E  CESAR E CHAVEZ               AV
1/25/2024 0:00,1/11/2024 0:00,1500,12,77th Street,1239,BATTERY - SIMPLE ASSAULT,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",BUDLONG                      AV
1/25/2024 0:00,1/25/2024 0:00,1015,5,Harbor,507,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,M,PARK/PLAYGROUND,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",22400    HALLDALE                     AV
1/25/2024 0:00,1/25/2024 0:00,1145,7,Wilshire,738,BATTERY - SIMPLE ASSAULT,X,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  CITRUS                       AV
1/25/2024 0:00,1/21/2024 0:00,1822,2,Rampart,251,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",F,SINGLE FAMILY DWELLING,,300 S  BENTON                       WY
1/25/2024 0:00,1/19/2024 0:00,2130,5,Harbor,564,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),M,"VEHICLE, PASSENGER/TRUCK",,200 W  1ST                          ST
1/25/2024 0:00,1/12/2024 0:00,2025,7,Wilshire,759,THEFT OF IDENTITY,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1200 S  NORTON                       AV
1/25/2024 0:00,1/21/2024 0:00,2300,18,Southeast,1844,VEHICLE - STOLEN,,STREET,,10800    AVALON                       BL
1/25/2024 0:00,1/21/2024 0:00,1735,20,Olympic,2015,VIOLATION OF RESTRAINING ORDER,F,SINGLE FAMILY DWELLING,,100 N  MARIPOSA                     AV
1/25/2024 0:00,1/19/2024 0:00,1400,6,Hollywood,646,THEFT PLAIN - PETTY ($950 & UNDER),M,OTHER RESIDENCE,,1500    WILCOX                       AV
1/25/2024 0:00,1/21/2024 0:00,2200,12,77th Street,1213,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,5500    CIMARRON                     ST
1/25/2024 0:00,1/11/2024 0:00,1500,12,77th Street,1239,BATTERY - SIMPLE ASSAULT,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",BUDLONG                      AV
1/25/2024 0:00,1/24/2024 0:00,1455,18,Southeast,1881,BATTERY - SIMPLE ASSAULT,M,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 W  REDONDO BEACH                BL
1/25/2024 0:00,1/25/2024 0:00,1700,19,Mission,1983,VEHICLE - STOLEN,,PARKING LOT,,8500 N  SEPULVEDA                    BL
1/25/2024 0:00,1/25/2024 0:00,1130,12,77th Street,1263,VIOLATION OF COURT ORDER,F,SINGLE FAMILY DWELLING,,1600 W  81ST                         ST
1/25/2024 0:00,1/23/2024 0:00,1529,16,Foothill,1651,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),X,DEPARTMENT STORE,,9700    LAUREL CANYON                BL
1/25/2024 0:00,1/22/2024 0:00,1930,10,West Valley,1039,VANDALISM - MISDEAMEANOR ($399 OR UNDER),F,"VEHICLE, PASSENGER/TRUCK",,16100    VICTORY                      BL
1/25/2024 0:00,1/23/2024 0:00,1345,10,West Valley,1077,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),F,PARKING LOT,,VENTURA
1/25/2024 0:00,1/25/2024 0:00,1500,1,Central,163,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,CLOTHING STORE,,800 S  BROADWAY
1/25/2024 0:00,1/25/2024 0:00,1345,13,Newton,1347,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,STREET,UNKNOWN WEAPON/OTHER WEAPON,1800 E  VERNON                       AV
1/25/2024 0:00,1/25/2024 0:00,1120,3,Southwest,393,BATTERY - SIMPLE ASSAULT,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4200    CRENSHAW                     BL
1/25/2024 0:00,1/25/2024 0:00,1820,8,West LA,835,"BURGLARY, ATTEMPTED",F,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,1800    VETERAN                      AV
1/25/2024 0:00,1/25/2024 0:00,220,18,Southeast,1821,ROBBERY,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",99TH                         ST
1/25/2024 0:00,1/24/2024 0:00,1300,1,Central,195,VEHICLE - STOLEN,,STREET,,1500 S  LOS ANGELES                  ST
1/25/2024 0:00,1/22/2024 0:00,1910,16,Foothill,1699,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",X,"VEHICLE, PASSENGER/TRUCK",,7700    HOLLYWOOD                    WY
1/25/2024 0:00,1/25/2024 0:00,1538,7,Wilshire,722,THEFT PLAIN - PETTY ($950 & UNDER),X,CLOTHING STORE,,8400    BEVERLY                      BL
1/25/2024 0:00,1/18/2024 0:00,1700,21,Topanga,2156,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,STREET,,6200    TOPANGA CANYON               BL
1/25/2024 0:00,1/16/2024 0:00,740,7,Wilshire,734,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",300 S  CURSON                       AV
1/25/2024 0:00,1/25/2024 0:00,2000,18,Southeast,1837,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",X,SINGLE FAMILY DWELLING,OTHER KNIFE,1600 E  114TH                        ST
1/25/2024 0:00,1/25/2024 0:00,1400,8,West LA,889,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,OTHER BUSINESS,,1800    LA CIENEGA                   BL
1/25/2024 0:00,1/24/2024 0:00,1800,15,N Hollywood,1557,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),M,PARKING LOT,,5100    VINELAND                     AV
1/25/2024 0:00,1/24/2024 0:00,1255,15,N Hollywood,1546,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),M,SINGLE FAMILY DWELLING,,11600    CHANDLER                     BL
1/25/2024 0:00,1/25/2024 0:00,1655,3,Southwest,399,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",X,RESTAURANT/FAST FOOD,HAND GUN,4000 S  FIGUEROA                     ST
1/25/2024 0:00,1/24/2024 0:00,1800,3,Southwest,331,VEHICLE - STOLEN,,STREET,,2800 S  RIMPAU                       BL
1/25/2024 0:00,1/23/2024 0:00,1005,10,West Valley,1011,THEFT PLAIN - PETTY ($950 & UNDER),M,PARKING LOT,,19200    SHERMAN                      WY
1/25/2024 0:00,1/25/2024 0:00,1815,3,Southwest,356,CRIMINAL THREATS - NO WEAPON DISPLAYED,F,SINGLE FAMILY DWELLING,VERBAL THREAT,1600 W  35TH                         ST
1/25/2024 0:00,1/10/2024 0:00,830,1,Central,118,BURGLARY,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1100 N  MAIN                         ST
1/25/2024 0:00,1/18/2024 0:00,1415,2,Rampart,202,THEFT PLAIN - PETTY ($950 & UNDER),F,"PORCH, RESIDENTIAL",,4400    BURNS                        AV
1/25/2024 0:00,1/25/2024 0:00,730,10,West Valley,1029,STALKING,F,SINGLE FAMILY DWELLING,,16000    GAULT                        ST
1/25/2024 0:00,1/19/2024 0:00,2330,20,Olympic,2024,BURGLARY FROM VEHICLE,F,PARKING LOT,,500 S  KINGSLEY                     DR
1/25/2024 0:00,1/25/2024 0:00,530,15,N Hollywood,1548,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",M,HEALTH SPA/GYM,,5300    LANKERSHIM                   BL
1/25/2024 0:00,1/25/2024 0:00,1155,16,Foothill,1602,TRESPASSING,M,SINGLE FAMILY DWELLING,,11400    GLENOAKS                     BL
1/25/2024 0:00,1/23/2024 0:00,2200,8,West LA,818,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,GAYLEY
1/25/2024 0:00,1/25/2024 0:00,2050,4,Hollenbeck,477,VEHICLE - ATTEMPT STOLEN,M,ELEMENTARY SCHOOL,,2800 E  7TH                          ST
1/25/2024 0:00,1/25/2024 0:00,1300,6,Hollywood,629,TRESPASSING,M,SIDEWALK,,2000 N  WESTERN                      AV
1/25/2024 0:00,1/8/2024 0:00,1048,17,Devonshire,1764,THEFT PLAIN - PETTY ($950 & UNDER),X,OTHER STORE,,9200    CORBIN                       AV
1/25/2024 0:00,1/24/2024 0:00,2050,9,Van Nuys,964,VEHICLE - STOLEN,,PARKING LOT,,14000    RIVERSIDE                    DR
1/25/2024 0:00,1/11/2024 0:00,1718,2,Rampart,205,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,DEPARTMENT STORE,,600 N  DILLON                       ST
1/25/2024 0:00,1/19/2024 0:00,1415,6,Hollywood,645,THEFT PLAIN - PETTY ($950 & UNDER),F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1400 N  HIGHLAND                     AV
1/25/2024 0:00,1/24/2024 0:00,1900,13,Newton,1313,VEHICLE - STOLEN,,STREET,,2000    STANFORD                     AV
1/25/2024 0:00,1/14/2024 0:00,100,2,Rampart,295,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,1400 S  BURLINGTON                   AV
1/25/2024 0:00,1/25/2024 0:00,1640,3,Southwest,355,ROBBERY,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",WESTERN                      AV
1/25/2024 0:00,1/24/2024 0:00,2246,6,Hollywood,622,BURGLARY FROM VEHICLE,M,STREET,,HILLSIDE                     AV
1/25/2024 0:00,1/23/2024 0:00,1742,2,Rampart,265,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,CELL PHONE STORE,,800 S  ALVARADO                     ST
1/25/2024 0:00,1/25/2024 0:00,1308,10,West Valley,1029,DISTURBING THE PEACE,F,SINGLE FAMILY DWELLING,,16000    GAULT                        ST
1/25/2024 0:00,1/25/2024 0:00,1600,18,Southeast,1831,"BURGLARY, ATTEMPTED",F,SINGLE FAMILY DWELLING,,500 W  ATHENS                       BL
1/25/2024 0:00,1/25/2024 0:00,1915,1,Central,156,VANDALISM - MISDEAMEANOR ($399 OR UNDER),F,SIDEWALK,,E  6TH                          ST
1/25/2024 0:00,1/25/2024 0:00,1700,1,Central,192,VEHICLE - STOLEN,,STREET,,GRAND
1/25/2024 0:00,1/1/2024 0:00,1,13,Newton,1317,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",M,OTHER BUSINESS,,1400 E  WASHINGTON                   BL
1/25/2024 0:00,1/24/2024 0:00,432,1,Central,152,BURGLARY,X,OTHER BUSINESS,,700 W  7TH                          ST
1/25/2024 0:00,1/24/2024 0:00,2200,11,Northeast,1112,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,DRIVEWAY,,3900 W  AVENUE 43
1/25/2024 0:00,1/25/2024 0:00,1600,18,Southeast,1862,BATTERY - SIMPLE ASSAULT,F,MTA BUS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IMPERIAL                     HY
1/25/2024 0:00,1/24/2024 0:00,2352,1,Central,134,PICKPOCKET,F,NIGHT CLUB (OPEN EVENINGS ONLY),,300 S  HILL                         ST
1/25/2024 0:00,1/10/2024 0:00,2300,2,Rampart,216,INTIMATE PARTNER - SIMPLE ASSAULT,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400 N  CORONADO                     ST
1/25/2024 0:00,1/23/2024 0:00,2220,20,Olympic,2022,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,STREET,,300 S  MANHATTAN                    PL
1/25/2024 0:00,1/21/2024 0:00,1200,8,West LA,887,VEHICLE - STOLEN,,STREET,,2400    CASTLE HEIGHTS               AV
1/25/2024 0:00,1/25/2024 0:00,1625,5,Harbor,521,"THEFT, PERSON",F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1400 W  G                            ST
1/25/2024 0:00,1/25/2024 0:00,309,5,Harbor,587,VEHICLE - STOLEN,,STREET,,2800 S  DENISON                      AV
1/25/2024 0:00,1/24/2024 0:00,1000,21,Topanga,2146,VEHICLE - STOLEN,,STREET,,7000    REMMET                       AV
1/25/2024 0:00,1/24/2024 0:00,2200,16,Foothill,1611,VEHICLE - STOLEN,,STREET,,11700    GLENOAKS                     BL
1/25/2024 0:00,1/23/2024 0:00,800,3,Southwest,395,VEHICLE - ATTEMPT STOLEN,F,PARKING LOT,,4100 S  WESTERN                      AV
1/25/2024 0:00,1/24/2024 0:00,1930,8,West LA,859,VANDALISM - MISDEAMEANOR ($399 OR UNDER),M,SINGLE FAMILY DWELLING,,1400 S  WOOSTER                      ST
1/25/2024 0:00,1/25/2024 0:00,515,3,Southwest,329,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,SIDEWALK,MACE/PEPPER SPRAY,28TH                         ST
1/25/2024 0:00,1/11/2024 0:00,700,18,Southeast,1841,THEFT OF IDENTITY,M,SINGLE FAMILY DWELLING,,10400 S  HOOVER                       ST
1/25/2024 0:00,1/25/2024 0:00,1900,18,Southeast,1804,INTIMATE PARTNER - SIMPLE ASSAULT,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",MANCHESTER                   AV
1/25/2024 0:00,1/24/2024 0:00,1130,2,Rampart,291,"BUNCO, ATTEMPT",X,OTHER BUSINESS,,1300    VENICE                       BL
1/25/2024 0:00,1/25/2024 0:00,1640,4,Hollenbeck,469,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",X,OTHER BUSINESS,,500 S  INDIANA                      ST
1/25/2024 0:00,1/22/2024 0:00,1400,7,Wilshire,766,VEHICLE - STOLEN,,STREET,,4400    VICTORIA PARK                DR
1/25/2024 0:00,1/25/2024 0:00,300,4,Hollenbeck,477,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,JUNIOR HIGH SCHOOL,,2500 E  6TH                          ST
1/25/2024 0:00,1/24/2024 0:00,2000,16,Foothill,1681,BURGLARY,X,JUNIOR HIGH SCHOOL,,8500    ARLETA                       AV
1/25/2024 0:00,1/23/2024 0:00,1200,19,Mission,1944,VEHICLE - STOLEN,,STREET,,12100    TRUMAN                       ST
1/25/2024 0:00,1/25/2024 0:00,1430,9,Van Nuys,923,BATTERY - SIMPLE ASSAULT,M,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6700    VAN NUYS                     BL
1/25/2024 0:00,1/22/2024 0:00,1345,11,Northeast,1132,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,3900    LOS FELIZ                    BL
1/25/2024 0:00,1/24/2024 0:00,2200,14,Pacific,1487,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,STREET,,8700    KITTYHAWK                    AV
1/25/2024 0:00,1/25/2024 0:00,30,17,Devonshire,1708,VEHICLE - STOLEN,,STREET,,16300    ARMSTEAD                     ST
1/25/2024 0:00,1/25/2024 0:00,1430,8,West LA,833,BATTERY - SIMPLE ASSAULT,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",WESTWOOD                     BL
1/25/2024 0:00,1/24/2024 0:00,1800,11,Northeast,1163,VEHICLE - STOLEN,,STREET,,1200 N  BERENDO                      ST
1/25/2024 0:00,1/25/2024 0:00,1130,18,Southeast,1826,THEFT PLAIN - PETTY ($950 & UNDER),X,MARKET,,1600 E  103RD                        ST
1/25/2024 0:00,1/23/2024 0:00,835,12,77th Street,1253,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,SINGLE FAMILY DWELLING,,7800 S  HOBART                       BL
1/25/2024 0:00,1/14/2024 0:00,1655,1,Central,163,BURGLARY FROM VEHICLE,F,PARKING LOT,,800 S  HILL                         ST
1/25/2024 0:00,1/25/2024 0:00,1200,18,Southeast,1871,CRUELTY TO ANIMALS,M,YARD (RESIDENTIAL/BUSINESS),SCALDING LIQUID,500 W  146TH                        ST
1/25/2024 0:00,1/24/2024 0:00,1300,20,Olympic,2019,VEHICLE - STOLEN,,PARKING UNDERGROUND/BUILDING,,3300 W  2ND                          ST
1/25/2024 0:00,1/25/2024 0:00,1226,3,Southwest,328,THEFT PLAIN - PETTY ($950 & UNDER),F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,700 W  28TH                         ST
1/25/2024 0:00,1/25/2024 0:00,1815,7,Wilshire,735,INTIMATE PARTNER - SIMPLE ASSAULT,F,BAR/SPORTS BAR (OPEN DAY & NIGHT),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700 S  LA BREA                      AV
1/25/2024 0:00,1/24/2024 0:00,1550,16,Foothill,1611,BATTERY - SIMPLE ASSAULT,M,SPECIALTY SCHOOL/OTHER,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",13300    VAUGHN                       ST
1/25/2024 0:00,1/25/2024 0:00,1315,7,Wilshire,765,BURGLARY FROM VEHICLE,M,OTHER PREMISE,,4500 W  PICO                         BL
1/25/2024 0:00,1/25/2024 0:00,332,16,Foothill,1685,BURGLARY FROM VEHICLE,X,ABANDONED BUILDING ABANDONED HOUSE,,7700    KRAFT                        AV
1/25/2024 0:00,1/25/2024 0:00,1640,4,Hollenbeck,488,BATTERY - SIMPLE ASSAULT,M,DRIVEWAY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1100 S  LORENA                       ST
1/25/2024 0:00,1/25/2024 0:00,945,3,Southwest,391,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",M,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4100    DON JOSE                     DR
1/25/2024 0:00,1/25/2024 0:00,2100,18,Southeast,1863,CRIMINAL THREATS - NO WEAPON DISPLAYED,F,SINGLE FAMILY DWELLING,VERBAL THREAT,400 E  120TH                        ST
1/25/2024 0:00,1/25/2024 0:00,817,4,Hollenbeck,461,THEFT PLAIN - PETTY ($950 & UNDER),M,STREET,,100 S  PECAN                        ST
1/25/2024 0:00,1/18/2024 0:00,900,20,Olympic,2021,THEFT PLAIN - PETTY ($950 & UNDER),M,OTHER BUSINESS,,4200    WILSHIRE                     BL
1/25/2024 0:00,1/25/2024 0:00,2215,14,Pacific,1494,BATTERY - SIMPLE ASSAULT,M,TRANSPORTATION FACILITY (AIRPORT),UNKNOWN WEAPON/OTHER WEAPON,300    WORLD                        WY
1/25/2024 0:00,1/25/2024 0:00,1300,12,77th Street,1268,BRANDISH WEAPON,F,GROUP HOME,VERBAL THREAT,200 E  84TH                         ST
1/25/2024 0:00,1/25/2024 0:00,200,8,West LA,842,BURGLARY FROM VEHICLE,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,1200    FEDERAL                      AV
1/25/2024 0:00,1/24/2024 0:00,1930,9,Van Nuys,901,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),M,ABANDONED BUILDING ABANDONED HOUSE,,15500    SATICOY                      ST
1/25/2024 0:00,1/18/2024 0:00,1204,2,Rampart,261,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",M,STREET,,2600 W  7TH                          ST
1/25/2024 0:00,1/24/2024 0:00,2200,7,Wilshire,721,VEHICLE - STOLEN,,STREET,,400 S  HAMEL                        RD
1/25/2024 0:00,1/18/2024 0:00,1200,4,Hollenbeck,439,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,5000    WILLIAMS                     PL
1/25/2024 0:00,1/25/2024 0:00,310,9,Van Nuys,923,BURGLARY,M,DRUG STORE,,6500    VAN NUYS                     BL
1/25/2024 0:00,1/24/2024 0:00,1000,5,Harbor,519,BATTERY - SIMPLE ASSAULT,M,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1000 E  COLON                        ST
1/25/2024 0:00,1/25/2024 0:00,1700,8,West LA,849,SHOPLIFTING - PETTY THEFT ($950 & UNDER),X,OTHER BUSINESS,,8500 W  OLYMPIC                      BL
1/25/2024 0:00,1/25/2024 0:00,624,10,West Valley,1027,THEFT OF IDENTITY,M,SINGLE FAMILY DWELLING,,7100    JELLICO                      AV
1/25/2024 0:00,1/14/2024 0:00,2300,21,Topanga,2128,BURGLARY FROM VEHICLE,M,PARKING LOT,,20200    KESWICK                      ST
1/25/2024 0:00,1/24/2024 0:00,1400,6,Hollywood,657,BURGLARY,F,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,5400 W  LEMON GROVE                  AV
1/25/2024 0:00,1/19/2024 0:00,1700,16,Foothill,1663,BURGLARY FROM VEHICLE,X,PARKING LOT,,8900    LAUREL CANYON                BL
1/25/2024 0:00,1/25/2024 0:00,250,14,Pacific,1424,BURGLARY,X,SINGLE FAMILY DWELLING,,12000    NAVY                         ST
1/25/2024 0:00,1/25/2024 0:00,342,10,West Valley,1015,BURGLARY,M,DRUG STORE,,18300    SHERMAN                      WY
1/25/2024 0:00,1/25/2024 0:00,1245,18,Southeast,1834,VEHICLE - STOLEN,,STREET,,108TH                        ST
1/25/2024 0:00,1/24/2024 0:00,1600,3,Southwest,337,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,STREET,HAND GUN,BUDLONG
1/25/2024 0:00,1/25/2024 0:00,1530,21,Topanga,2105,INTIMATE PARTNER - SIMPLE ASSAULT,M,POLICE FACILITY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",21500    SCHOENBORN                   ST
1/25/2024 0:00,1/15/2024 0:00,1500,20,Olympic,2019,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,STREET,,3300 W  3RD                          ST
